Sample in Buffer,Sample in Window,TRIGGER,u0/spi_inst0/SCK,u0/spi_inst0/CSn,u0/spi_inst0/MOSI,u0/spi_inst0/MISO,u0/spi_inst0/spi_seq[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
531,531,0,0,0,1,0,"IDLE"
532,532,0,0,0,1,0,"IDLE"
533,533,0,0,0,1,0,"IDLE"
534,534,0,0,0,1,0,"IDLE"
535,535,0,0,0,1,0,"IDLE"
536,536,0,0,0,1,0,"IDLE"
537,537,0,0,0,1,0,"IDLE"
538,538,0,0,0,1,0,"IDLE"
539,539,0,0,0,1,0,"IDLE"
540,540,0,0,0,1,0,"IDLE"
541,541,0,0,0,1,0,"IDLE"
542,542,0,0,0,1,0,"IDLE"
543,543,0,0,0,1,0,"IDLE"
544,544,0,0,0,1,0,"IDLE"
545,545,0,0,0,1,0,"IDLE"
546,546,0,0,0,1,0,"IDLE"
547,547,0,0,0,1,0,"IDLE"
548,548,0,0,0,1,0,"IDLE"
549,549,0,0,0,1,0,"IDLE"
550,550,0,0,0,1,0,"IDLE"
551,551,0,0,0,1,0,"IDLE"
552,552,0,0,0,1,0,"IDLE"
553,553,0,0,0,1,0,"IDLE"
554,554,0,0,0,1,0,"IDLE"
555,555,0,0,0,1,0,"IDLE"
556,556,0,0,0,1,0,"IDLE"
557,557,0,0,0,1,0,"IDLE"
558,558,0,0,0,1,0,"IDLE"
559,559,0,0,0,1,0,"IDLE"
560,560,0,0,0,1,0,"IDLE"
561,561,0,0,0,1,0,"IDLE"
562,562,0,0,0,1,0,"IDLE"
563,563,0,0,0,1,0,"IDLE"
564,564,0,0,0,1,0,"IDLE"
565,565,0,0,0,1,0,"IDLE"
566,566,0,0,0,1,0,"IDLE"
567,567,0,0,0,1,0,"IDLE"
568,568,0,0,0,1,0,"IDLE"
569,569,0,0,0,1,0,"IDLE"
570,570,0,0,0,1,0,"IDLE"
571,571,0,0,0,1,0,"IDLE"
572,572,0,0,0,1,0,"IDLE"
573,573,0,0,0,1,0,"IDLE"
574,574,0,0,0,1,0,"IDLE"
575,575,0,0,0,1,0,"IDLE"
576,576,0,0,0,1,0,"IDLE"
577,577,0,0,0,1,0,"IDLE"
578,578,0,0,0,1,0,"IDLE"
579,579,0,0,0,1,0,"IDLE"
580,580,0,0,0,1,0,"IDLE"
581,581,0,0,0,1,0,"IDLE"
582,582,0,0,0,1,0,"IDLE"
583,583,0,0,0,1,0,"IDLE"
584,584,0,0,0,1,0,"IDLE"
585,585,0,0,0,1,0,"IDLE"
586,586,0,0,0,1,0,"IDLE"
587,587,0,0,0,1,0,"IDLE"
588,588,0,0,0,1,0,"IDLE"
589,589,0,0,0,1,0,"IDLE"
590,590,0,0,0,1,0,"IDLE"
591,591,0,0,0,1,0,"IDLE"
592,592,0,0,0,1,0,"IDLE"
593,593,0,0,0,1,0,"IDLE"
594,594,0,0,0,1,0,"IDLE"
595,595,0,0,0,1,0,"IDLE"
596,596,0,0,0,1,0,"IDLE"
597,597,0,0,0,1,0,"IDLE"
598,598,0,0,0,1,0,"IDLE"
599,599,0,0,0,1,0,"IDLE"
600,600,0,0,0,1,0,"IDLE"
601,601,0,0,0,1,0,"IDLE"
602,602,0,0,0,1,0,"IDLE"
603,603,0,0,0,1,0,"IDLE"
604,604,0,0,0,1,0,"IDLE"
605,605,0,0,0,1,0,"IDLE"
606,606,0,0,0,1,0,"IDLE"
607,607,0,0,0,1,0,"IDLE"
608,608,0,0,0,1,0,"IDLE"
609,609,0,0,0,1,0,"IDLE"
610,610,0,0,0,1,0,"IDLE"
611,611,0,0,0,1,0,"IDLE"
612,612,0,0,0,1,0,"IDLE"
613,613,0,0,0,1,0,"IDLE"
614,614,0,0,0,1,0,"IDLE"
615,615,0,0,0,1,0,"IDLE"
616,616,0,0,0,1,0,"IDLE"
617,617,0,0,0,1,0,"IDLE"
618,618,0,0,0,1,0,"IDLE"
619,619,0,0,0,1,0,"IDLE"
620,620,0,0,0,1,0,"IDLE"
621,621,0,0,0,1,0,"IDLE"
622,622,0,0,0,1,0,"IDLE"
623,623,0,0,0,1,0,"IDLE"
624,624,0,0,0,1,0,"IDLE"
625,625,0,0,0,1,0,"IDLE"
626,626,0,0,0,1,0,"IDLE"
627,627,0,0,0,1,0,"IDLE"
628,628,0,0,0,1,0,"IDLE"
