Sample in Buffer,Sample in Window,TRIGGER,u0/wb_dbus_adr[31:0],u0/wb_dbus_cyc,u0/wb_dbus_dat[31:0],u0/wb_dbus_we,u0/wb_dbus_rdt[31:0],u0/o_probuf_0[31:0],u0/o_probuf_1[31:0],u0/o_probuf_2[31:0],u0/o_exe_req,u0/o_autoexec[2:0],u0/o_autoexec_wr,u0/wb_dbus_ack
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
236,236,0,fffff8c0,0,00000008,1,00000000,88002483,0004a483,00100073,0,0,0,0
237,237,0,fffff8c0,0,00000004,1,00000000,88002483,0004a483,00100073,0,0,0,0
238,238,0,fffff8c0,0,00000002,1,00000000,88002483,0004a483,00100073,0,0,0,0
239,239,0,fffff8c0,0,00000001,1,00000000,88002483,0004a483,00100073,0,0,0,0
240,240,0,fffff8c0,0,00000000,1,00000000,88002483,0004a483,00100073,0,0,0,0
241,241,0,fffff8c0,0,00000000,1,8c204403,88002483,0004a483,00100073,0,0,0,0
242,242,0,fffff8c0,0,00000000,0,8c204403,88002483,0004a483,00100073,0,0,0,0
243,243,0,fffff8c0,0,00000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
244,244,0,fffff8c0,0,00000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
245,245,0,7ffffc60,0,00000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
246,246,0,bffffe30,0,80000000,0,5b4103e0,88002483,0004a483,00100073,0,0,0,0
247,247,0,5fffff18,0,40000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
248,248,0,2fffff8c,0,20000000,0,00040001,88002483,0004a483,00100073,0,0,0,0
249,249,0,17ffffc4,0,10000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
250,250,0,0bffffe0,0,08000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
251,251,0,85fffff0,0,84000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
252,252,0,c2fffff8,0,c2000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
253,253,0,617ffffc,0,61000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
254,254,0,30bffffc,0,30800000,0,00040001,88002483,0004a483,00100073,0,0,0,0
255,255,0,185ffffc,0,18400000,0,00000000,88002483,0004a483,00100073,0,0,0,0
256,256,0,8c2ffffc,0,8c200000,0,00000000,88002483,0004a483,00100073,0,0,0,0
257,257,0,c617fffc,0,c6100000,0,000000ff,88002483,0004a483,00100073,0,0,0,0
258,258,0,e30bfffc,0,e3080000,0,00000000,88002483,0004a483,00100073,0,0,0,0
259,259,0,f185fffc,0,f1840000,0,00000000,88002483,0004a483,00100073,0,0,0,0
260,260,0,f8c2fffc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
261,261,0,fc617ffc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
262,262,0,fe30bffc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
263,263,0,ff185ffc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
264,264,0,ff8c2ffc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
265,265,0,ffc617fc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
266,266,0,ffe30bfc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
267,267,0,fff185fc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
268,268,0,fff8c2fc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
269,269,0,fffc617c,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
270,270,0,fffe30bc,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
271,271,0,ffff185c,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
272,272,0,ffff8c2c,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
273,273,0,ffffc614,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
274,274,0,ffffe308,0,f8c20000,0,00000000,88002483,0004a483,00100073,0,0,0,0
